Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.0%    0.2%  Function: ~ok assert.js:69:12
      8    0.0%    0.2%  Function: ~next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      7    0.0%    0.2%  RegExp: [\\r\\n]
      7    0.0%    0.2%  RegExp: ;\\s*charset\\s*=
      7    0.0%    0.2%  LazyCompile: *module.exports C:\Users\ben\Documents\GitHub\busyapi\node_modules\qs\lib\parse.js:132:27
      7    0.0%    0.2%  Builtin: TypedArrayInitializeWithBuffer
      7    0.0%    0.2%  Builtin: StringPrototypeReplace
      7    0.0%    0.2%  Builtin: GrowFastSmiOrObjectElements
      7    0.0%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      6    0.0%    0.1%  Stub: CallApiCallbackStub {1}
      6    0.0%    0.1%  RegExp: =+$
      6    0.0%    0.1%  LazyCompile: *urlencodedParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\urlencoded.js:79:36
      6    0.0%    0.1%  LazyCompile: *setWriteHeadHeaders C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:59:29
      6    0.0%    0.1%  LazyCompile: *internalNextTick internal/process/next_tick.js:275:28
      6    0.0%    0.1%  LazyCompile: *getStderr internal/process/stdio.js:27:21
      6    0.0%    0.1%  LazyCompile: *_addListener events.js:233:22
      6    0.0%    0.1%  LazyCompile: *Readable.on _stream_readable.js:771:33
      6    0.0%    0.1%  LazyCompile: *Buffer buffer.js:147:16
      6    0.0%    0.1%  LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:612:18
      6    0.0%    0.1%  Function: ~Socket._getpeername net.js:637:41
      6    0.0%    0.1%  Builtin: StringPrototypeSlice
      6    0.0%    0.1%  Builtin: InterpreterPushArgsThenCallFunction
      6    0.0%    0.1%  Builtin: FastNewFunctionContextFunction
